CNPJ_FUNDO,SIT,DT_REG,TAXA_ADM,VL_PATRIM_LIQ,cnpj,uf,razao_social,sigla,nome
50555281000117,EM FUNCIONAMENTO NORMAL,2023-05-04,null,16710510.2,50555281000117,SP,RECEBIVEIS BRASIL INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,SP,São Paulo
49963418000193,EM FUNCIONAMENTO NORMAL,2023-03-16,null,193580582.71,49963418000193,SP,OPI CREDITO AGRICOLA FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC - RESP LIMITADA,SP,São Paulo
34691300000186,EM FUNCIONAMENTO NORMAL,2020-04-13,null,15679307.15,34691300000186,SP,ALPHA CREDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,SP,São Paulo
41557609000143,EM FUNCIONAMENTO NORMAL,2021-09-06,null,45424395.87,41557609000143,SP,SUN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
08815386000100,EM FUNCIONAMENTO NORMAL,2007-08-10,1,10716897.9,08815386000100,MG,INTER SELECTION ACOES FC DE FUNDO DE INVESTIMENTO FINANCEIRO EM ACOES RESPONSABILIDADE LIMITADA,MG,Minas Gerais
36098375000183,EM FUNCIONAMENTO NORMAL,2020-02-17,null,117868181.76,36098375000183,MG,BTSP I FUNDO DE INVESTIMENTO IMOBILIARIO FII RESPONSABILIDADE LIMITADA,MG,Minas Gerais
33429343000125,EM FUNCIONAMENTO NORMAL,2019-09-18,0.03,361746972.41,33429343000125,SP,DB HOLDING CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CREDITO PRIVADO,SP,São Paulo
36115022000144,EM FUNCIONAMENTO NORMAL,2020-08-05,null,153651859.95,36115022000144,SP,SAVANA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
36443522000105,EM FUNCIONAMENTO NORMAL,2020-02-21,25,1814051772.98,36443522000105,MG,INTER CORPORATE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CREDITO PRIVADO RESP LIMITADA,MG,Minas Gerais
28296597000182,EM FUNCIONAMENTO NORMAL,2018-06-07,null,53160744.55,28296597000182,SP,HT3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
44638491000176,EM FUNCIONAMENTO NORMAL,2022-11-08,null,31123895.81,44638491000176,SP,MATECH PAR FUNDO DE INVESTIMENTO EM PARTICIPACOES CAPITALSEMENTE,SP,São Paulo
42315695000140,EM FUNCIONAMENTO NORMAL,2021-08-26,null,32117449.68,42315695000140,MG,INTER ACESS ABSOLUTE VERTEX FC DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,MG,Minas Gerais
16570371000149,EM FUNCIONAMENTO NORMAL,2012-08-01,2,2771984.61,16570371000149,SP,BBT MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO,SP,São Paulo
43236423000118,EM FUNCIONAMENTO NORMAL,2021-08-24,null,356313621.32,43236423000118,SP,CLOUD9 CAPITAL FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
29881003000163,EM FUNCIONAMENTO NORMAL,2019-01-23,0.01,492641344.73,29881003000163,SP,SILEX FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,SP,São Paulo
02918923000152,EM FUNCIONAMENTO NORMAL,2005-03-28,2,6269533.2,02918923000152,SP,BNP PARIBAS MAPFRE MAXI 20 MULTIMERCADO CIC COTAS DE CI PREVIDENCIARIA - RESPONSABILIDADE LIMITADA,SP,São Paulo
10500895000187,EM FUNCIONAMENTO NORMAL,2008-12-02,null,11233527.14,10500895000187,SP,INVESTIMAGE 1 FUNDO DE FINANCIAMENTO DA INDUSTRIA CINEMATOGRAFICA NACIONAL - FUNCINE,SP,São Paulo
45254732000146,EM FUNCIONAMENTO NORMAL,2022-03-10,null,40219833.57,45254732000146,RJ,POXIM FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,RJ,Rio de Janeiro
36312772000106,EM FUNCIONAMENTO NORMAL,2020-02-18,null,51206622.27,36312772000106,MG,INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIARIO FII RESPONSABILIDADE LIMITADA,MG,Minas Gerais
14067624000130,EM FUNCIONAMENTO NORMAL,2011-10-28,null,151818.15,14067624000130,SP,FUNDO DE INVESTIMENTO EM PARTICIPACOES EM HOTELARIA MULTIESTRATEGIA,SP,São Paulo
35819666000150,EM FUNCIONAMENTO NORMAL,2020-06-19,2,1660425541.4,35819666000150,SP,JIVE DISTRESSED III ONSHORE FIC DE FIF MULTIMERCADO - CREDITO PRIVADO RESPONSABILIDADE LIMITADA,SP,São Paulo
51476870000172,EM FUNCIONAMENTO NORMAL,2023-07-19,null,104178933.33,51476870000172,SP,DELTA FUNDO DE INVESTIMENTO IMOBILIARIO,SP,São Paulo
52317521000170,EM FUNCIONAMENTO NORMAL,2023-09-26,null,4511806.83,52317521000170,SP,IAT FUNDO DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA CREDITO PRIVADO IE,SP,São Paulo
47983885000150,EM FUNCIONAMENTO NORMAL,2022-12-08,null,104665260.6,47983885000150,SP,AXA IM SILVANUS FUND FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA RESPONSABILIDADE LIMITAD,SP,São Paulo
50399189000105,EM FUNCIONAMENTO NORMAL,2023-04-20,null,94222443.81,50399189000105,SP,FUNDO DE INVESTIMENTO IMOBILIARIO DE UNIDADES AUTONOMAS III RESPONSABILIDADE LIMITADA,SP,São Paulo
33240249000123,EM FUNCIONAMENTO NORMAL,2019-06-21,null,2407666956.62,33240249000123,SP,KILAUEA BRASIL PARTNERS II - FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA IE RESP LIMITADA,SP,São Paulo
50226162000110,EM FUNCIONAMENTO NORMAL,2023-04-05,null,1559098.21,50226162000110,SP,SANVI FUNDO DE INVESTIMENTO EM PARTICIPACOES CAPITAL-SEMENTE,SP,São Paulo
48996079000189,EM FUNCIONAMENTO NORMAL,2022-12-28,null,76400869.35,48996079000189,SP,KSK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,São Paulo
40211684000195,EM FUNCIONAMENTO NORMAL,2021-02-08,null,8814320.26,40211684000195,SP,CREDINOV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
06985322000113,EM FUNCIONAMENTO NORMAL,2012-03-08,32,179116418.71,06985322000113,MG,CHALLENGER FUNDO DE INVESTIMENTO FINANCEIRO EM ACOES,MG,Minas Gerais
32295244000135,EM FUNCIONAMENTO NORMAL,2019-12-26,null,3902898.13,32295244000135,SP,CREDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
29315301000196,EM FUNCIONAMENTO NORMAL,2018-04-03,null,431842036.27,29315301000196,SP,FUJI BRASIL PARTNERS I C - FIP MULTIESTRATEGIA INVESTIMENTO NO EXTERIOR RESP LIMITADA,SP,São Paulo
05862906000139,EM FUNCIONAMENTO NORMAL,2005-05-30,0.34,503232637.89,05862906000139,SP,BNP PARIBAS TARGUS CLASSE DE INVESTIMENTO EM COTAS DE CLASSE DE INVESTIMENTO RF CP RESP LIMITADA,SP,São Paulo
45018961000161,EM FUNCIONAMENTO NORMAL,2022-05-30,null,25326633.74,45018961000161,SP,NOVA ERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA,SP,São Paulo
22601577000191,EM FUNCIONAMENTO NORMAL,2015-07-02,null,1178939215.07,22601577000191,SP,FUNDO DE INVESTIMENTO EM PARTICIPACOES VOCATUS MULTIESTRATEGIA RESP LIMITADA,SP,São Paulo
11044355000107,EM FUNCIONAMENTO NORMAL,2010-08-09,null,228918338.75,11044355000107,MG,STARX FUNDO DE INVESTIMENTO IMOBILIARIO FII RESPONSABILIDADE LIMITADA,MG,Minas Gerais
44177436000126,EM FUNCIONAMENTO NORMAL,2022-01-03,null,400553155.68,44177436000126,SP,GALAXY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
36930464000144,EM FUNCIONAMENTO NORMAL,2021-04-09,null,675582022.67,36930464000144,MG,BTSP II FUNDO DE INVESTIMENTO IMOBILIARIO FII RESPONSABILIDADE LIMITADA,MG,Minas Gerais
30130708000128,EM FUNCIONAMENTO NORMAL,2018-04-13,null,2763081124.78,30130708000128,SP,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,SP,São Paulo
33913568000152,EM FUNCIONAMENTO NORMAL,2019-12-30,0.09,999393.63,33913568000152,SP,DB I CLASSE DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CREDITO PRIVADO,SP,São Paulo
26089666000151,EM FUNCIONAMENTO NORMAL,2016-10-31,0.38,109758364.54,26089666000151,MG,INTER SELECTION DEBENT INCENT FC DE FIF INCENT DE INVEST EM INFRA RENDA FIXA CRED PRIV RESP LIMITADA,MG,Minas Gerais
49983891000132,EM FUNCIONAMENTO NORMAL,2023-03-17,null,257317318.62,49983891000132,RJ,PATRIA CREDITO ESTRUTURADO 365 FIC FIM CREDITO PRIVADO,RJ,Rio de Janeiro
44432479000100,EM FUNCIONAMENTO NORMAL,2022-05-06,0.2,269810601.66,44432479000100,SP,BNP PARIBAS PREVINORTE CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,SP,São Paulo
49963885000113,EM FUNCIONAMENTO NORMAL,2023-03-16,null,545889451.38,49963885000113,SP,ALPHA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
32203308000120,EM FUNCIONAMENTO NORMAL,2019-03-26,0.38,202116637.37,32203308000120,SP,BNP PARIBAS CASH DI II REFERENCIADO CI EM CLASSES DE INVESTIMENTO RENDA FIXA - RESP LIMITADA,SP,São Paulo
39412078000159,EM FUNCIONAMENTO NORMAL,2022-08-24,null,1000846.18,39412078000159,SP,BELLAGIO FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA RESPONSABILDADE LIMITADA,SP,São Paulo
45693226000153,EM FUNCIONAMENTO NORMAL,2022-05-23,null,6543725.97,45693226000153,SP,CREDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESP LIMITADA,SP,São Paulo
42754444000162,EM FUNCIONAMENTO NORMAL,2021-11-29,null,65726719.67,42754444000162,RJ,ISTAMBUL FUNDO DE INVESTIMENTO MULTIMERCADO,RJ,Rio de Janeiro
40670750000195,EM FUNCIONAMENTO NORMAL,2021-04-07,null,6356884175.73,40670750000195,SP,B10 FUNDO DE INVESTIMENTOS EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
18402048000191,EM FUNCIONAMENTO NORMAL,2013-07-02,null,571931.15,18402048000191,SP,SANTA MARINA CLASSE DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA - RESPONSABILIDADE LIMITADA,SP,São Paulo
